입국자국가,국가코드,입국연월,입국자 수
중  국,112,202301,24946
중  국,112,202302,45884
중  국,112,202303,73390
중  국,112,202304,105967
중  국,112,202305,128171
중  국,112,202306,168035
중  국,112,202307,224805
중  국,112,202308,259659
중  국,112,202309,263940
중  국,112,202310,249483
중  국,112,202311,221469
중  국,112,202312,253675
중  국,112,202401,280035
중  국,112,202402,343719
중  국,112,202403,391347
중  국,112,202404,411331
중  국,112,202405,395222
중  국,112,202406,397325
중  국,112,202407,459069
중  국,112,202408,505559
중  국,112,202409,422809
중  국,112,202410,392230
중  국,112,202411,297840
중  국,112,202412,306787
